"Country Name","Country Code","Region","Income_Group",
"Porto Rico","PRI","","Revenu élevé : non OCDE",
"Corée, République démocratique de","PRK","Asie de l’Est et Pacifique","Faible revenu",
"Portugal","PRT","","Revenu élevé : OCDE",
"Paraguay","PRY","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Cisjordanie et Gaza","PSE","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche inférieure",
"Petits états insulaires du Pacifique","PSS","","Agrégats",
"Polynésie française","PYF","","Revenu élevé : non OCDE",
"Qatar","QAT","","Revenu élevé : non OCDE",
"Roumanie","ROU","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Fédération de Russie","RUS","","Revenu élevé : non OCDE",
"Rwanda","RWA","Afrique subsaharienne","Faible revenu",
"Asie du Sud","SAS","","Agrégats",
"Arabie saoudite","SAU","","Revenu élevé : non OCDE",
"Soudan","SDN","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Sénégal","SEN","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Singapour","SGP","","Revenu élevé : non OCDE",
"Îles Salomon","SLB","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Sierra Leone","SLE","Afrique subsaharienne","Faible revenu",
"El Salvador","SLV","Amérique latine et Caraïbes","Revenu intermédiaire, tranche inférieure",
"Saint-Marin","SMR","","Revenu élevé : non OCDE",
"Somalie","SOM","Afrique subsaharienne","Faible revenu",
"Serbie","SRB","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Afrique subsaharienne","SSA","","Agrégats",
"Soudan du Sud","SSD","Afrique subsaharienne","Faible revenu",
"Afrique subsaharienne (tous niveaux de revenu)","SSF","","Agrégats",
"Petits états","SST","","Agrégats",
"Sao Tomé-et-Principe","STP","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Suriname","SUR","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"République slovaque","SVK","","Revenu élevé : OCDE",
"Slovénie","SVN","","Revenu élevé : OCDE",
"Suède","SWE","","Revenu élevé : OCDE",
"Swaziland","SWZ","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Sint Maarten (Dutch part)","SXM","","Revenu élevé : non OCDE",
"Seychelles","SYC","","Revenu élevé : non OCDE",
"République arabe syrienne","SYR","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche inférieure",
"Îles Turques-et-Caïques","TCA","","Revenu élevé : non OCDE",
"Tchad","TCD","Afrique subsaharienne","Faible revenu",
"Togo","TGO","Afrique subsaharienne","Faible revenu",
"Thaïlande","THA","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Tadjikistan","TJK","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Turkménistan","TKM","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Timor-Leste","TLS","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Tonga","TON","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Trinité-et-Tobago","TTO","","Revenu élevé : non OCDE",
"Tunisie","TUN","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche supérieure",
"Turquie","TUR","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Tuvalu","TUV","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Tanzanie","TZA","Afrique subsaharienne","Faible revenu",
"Ouganda","UGA","Afrique subsaharienne","Faible revenu",
"Ukraine","UKR","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Revenu intermédiaire, tranche supérieure","UMC","","Agrégats",
"Uruguay","URY","","Revenu élevé : non OCDE",
"États-Unis","USA","","Revenu élevé : OCDE",
"Ouzbékistan","UZB","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Saint-Vincent-et-les Grenadines","VCT","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Venezuela","VEN","","Revenu élevé : non OCDE",
"Îles Vierges (EU)","VIR","","Revenu élevé : non OCDE",
"Viet Nam","VNM","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Vanuatu","VUT","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Monde","WLD","","Agrégats",
"Samoa","WSM","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche inférieure",
"Yémen, Rép. du","YEM","Moyen-Orient et Afrique du Nord","Revenu intermédiaire, tranche inférieure",
"Afrique du Sud","ZAF","Afrique subsaharienne","Revenu intermédiaire, tranche supérieure",
"Zambie","ZMB","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Zimbabwe","ZWE","Afrique subsaharienne","Faible revenu",
